Comment Head	Comment Body	Comment Rating
 It is good work by Schumacher,it is a movie of serious intent. There's no faulting Cage's committed, intense performance	8mm is neither the sick exploitation film nor the risible misfire the critics had labelled it -- it is a movie of serious intent.Director Joel Schumacher steadily turns on the tension.8mm Powerfully played and conscientiously filmed. It's a complex achievement, exciting, sad and profound at the same time. This is not a movie for the squeamish, by any means. But for those who like their thrillers dark and their heroes a bit more complicated and flawed than the average shoot-without-a-blink type so prevalent in today's movies, 8MM fills the bill.Intense but very engaging.One of the most daring and attentive films.It is a real film. Not a slick exploitation exercise.Strangely compelling, the film works best as an old-fashioned private eye movie, with Welles carrying out mundane investigative work as he becomes increasingly obsessed with finding answers and uncovering the truth.Cage is the film's greatest asset! It was a return to form for director Joel Schumacher in 1999.	10
 another Hollywood crap-fest	This film is quite a let down.  Its depiction of the S&M scene is nothing other than cliche.  It appears that the script may have had some potential. However, the film makers chose the easy way out and kept everything on the predictable level.  The characters are all flat flavorless bores. Especially Cage's.  It's a prime example of one dimensionality.  The film takes no risks, although the marketing will have you thinking the movie delves deep into the dark side of the human psyche.  In reality, it's nothing more than a waste of 2 1/2 hours.The best part for me was during the big climactic scene as Cage is creeping in the big bad evil guy's house, the projector died and the lights came on. Best laugh in the whole movie...	1
 A total waste of time		1
 Insultingly bad	Unless you're looking for a cinematic equivalent of a disposable airport paperback then please avoid this cheap cliché ridden excuse for a film. Think of all the usual archetypes you'd expect to find in a straight to video American thriller and you have the ingredients for 8mm. A dead girl, a grief-stricken lonely mother, a stressed out workaholic PI who's neglecting his worrying wife, some bad men with facial hair who swear a lot and make seedy porn films (they don't have houses in the country, wives and babies like our licensed firearm carrying hero). You can guess the rest.If you're looking for any kind of intelligent film-making, you will be insulted by Schumacher's offering here.	1
" ""A deep look of a underground filming wild world"""		8
 A dark journey in the recesses of some unpure and evil minds, make engrossing viewing, ala Schumacher		7
 Grim but gripping	8MM is a grim but gripping thriller where private detective Nicholas Cage is engaged to investigate whether a snuff movie is genuine or not, and finds himself reluctantly embroiled in the world of those who make such things.The film successfully raises moral issues, not least concerning Cage's actions towards the end of the movie - has he become like those he seeks to hold to account? - but I think the issues are sufficiently clear, in terms of right and wrong, that the film is not compromised in this area.However, I am a little concerned that in some respects the film may derive part of its appeal by accessing the prurient interest of the audience concerning the content of the very snuff movies it rightly portrays as appalling. However, it is difficult to see how you could make a film on this subject otherwise.The film is well made and well performed, but this is strong meat and should not be approached as if it was a straightforward run-of-the-mill crime thriller.	8
 Pretty good except for one weak point...		7
 A Dark, mysterious and effective detective story.		7
 Gripping film experience	"I totally went to watch this movie unknowing the content and I was shocked but at the same time gripped by the intense plot. This is not a film to watch rather it is a film to experience. No beauty or romance just a story that cuts to the gut of porn film dealers and the brutality that occurs. However the violence is purely used to strengthen the plot which I think was importation in this film to give it validity. The bad guys are really the bad guys in this! Then diametric to the ""darkside"" was Nicholas trying to bring justice but finds that just being the hero isn't enough. He has to struggle as to what is right and wrong with dealing with some of the worst scum. Joaquin Phoenix is good to have in the film. He brings a medium to both of the opposing sides. Also, he really makes you feel for his death and only further strengthens the absolute cruelty of the porn producers. Finally, the ending is the best part of the film. It really builds it up to a climax. So it's a film that asks questions and explores which engages the mind of the ""experience-er""."	7
 Disturbing, but amazing	"I have seen 8 MM three times now, and each time I watch it, I make it a point to focus on a different character. The most recent time I watched the film, I made it a point to focus on ""Machete"", even though his screen time is brief. I don't know what changes were made to Andrew Kevin Walker's script, but if Machete's lines are the same, Walker is brilliant. (Spoilers here!!!) The fact that he does what he does because he likes it made the entire movie worthwhile. I hate when the killer in a film became the person he/she is because of some past trauma or psychological condition. It can work, but it has been so over done. Here we are presented with a man who kills for the sheer thrill of it. He knows he can get away with it, he knows he is protected, and most of all, he gets paid to do it. He looks nothing like we expect, he lives in a normal, suburban neighborhood (the only cliché was the fact that it was next to a graveyard), and he lives with his mother/grandmother.That said, the film itself is also very well done. Schumacher almost redeems himself from destroying the Batman franchise in the 90's. The characters are well-rounded, though I would have liked to see a little more of Catherine Keener's character, but she did well with the small part she had. Nicholas cage does an excellent job as the private investigator who gets in too deep, and Joaquin Phoenix was perfect as Max California (""I'd hate to see you in a situation where you needed a battery operated vagina and didn't have one""). However, I think it can be safely said that the best role in 8 MM was Peter Stormare. His portrayal of Dino Velvet is downright scary. He's depraved, he's sick, he's a pervert of unimaginable proportions, and he's an ""artist"". He shows no concern for the lives of others and is obviously interested only in making twisted films for good money.All in all, I gave this film an 8 out of 10. Some may consider that a bit high, but I think when you put all the elements of this film together, it adds up pretty well. Yes it is shocking, yes it is dark (in fact, it's one of the darkest films I've seen in a while), but it's a well written, well directed and well acted work. Definitely worth seeing at least once."	8
 If you have children, this is a violently frightening movie	"From the moment I happened to flip across this movie, about 10 minutes into the story, I was mesmerized. This movie will take you into the most vile underbelly of our deceitfully, pretending to be wholesome, society. Nicholas Cage nails his character from the moment he steps onto the screen. As he travels along the path his journey takes him you see his gradual realization of just how depraved and sick people in our society can behave and the lengths they will go to to feed that depravity. He has an outward nonchalantness about him, like he ""has seen it all"" sort of attitude because of his chosen line of work. Very quickly he begins to realize that what he has seen is nothing compared to what he is beginning to see. This movie is well-written, well-directed, well-acted and well-thought out. It draws you in and never lets go until the very end and at the end you wonder if his character or you, for that matter, will ever view things quite the same ever again. Unfortunately, what is portrayed in this movie, snuff-films,really do exist and there is no telling how many missing teenagers end up like this child in this movie, that is why I say if you have children be afraid, be very afraid. The entire time I was watching this story unfold I was thinking about my 15 year old and at times it made me feel physically ill. This movie is definitely not for the faint of heart or the squeamish. It is gritty, in-your-face realism and the tones and colors in this film make you feel it's tenor the entire time.If you like taut, psychological thrillers then this movie is for you. And as another review stated, sometimes you don't have to actually see, in its entirety, what is happening your own imagination can, unfortunately, fill in the blanks on it's own. The only reason I gave it a 9 and not a 10 is one scene in the movie is never really fully explored or explained (the suicide) you are just kind of left to draw your own conclusions, which, maybe that was the whole point of that particular part, but, alas I shall never really know the truth. Just be ready to see something you never really wanted to see or know about in the first place. Martha-Alabama BTW: Afterthought--I wanted to see this movie when it first came out and then I forgot about it and then found it flipping channels on satellite. That explains my review of a movie that is several years old but just now reviewed by me :)"	9
 Oh my lord.... Wackeen has blue hair!	No don't worry this film isn't entirely about Joaquin having blue hair, but it does it for the girls, as does his role as a naughty undergroundy porno guy type, but also a disturbing thriller uncovering a quiet secret world of the 'snuff'. Fairly perverted and at times sick, this will satisfy those with unusual film appitites and Schu' doesn't let you down in the directorial department delivering some beautiful filmaking. Fans of Cage's previous work will find he is on full form as the 'good guy' but will pity his poor wife and baby, anybody who wants to see the bad side of Joaquin will sink their teeth in deep. Be warned- this ain't no run of the mill Cage thriller, get ready for something interesting...	8
 Slimy yet Satisfying, Gross but Brilliant	This movie, though at times sickening and very hard to watch, is amazing. We all know about pornography and twisted people in leather and whips, but most of us don't delve deep into thinking about the lives of these people. This movie does and it is disgusting. I didn't really realize how big the underground porno industry is, though the film is fictional, there is no doubt in your mind, that somewhere, this is really happening...girls wanting to get famous, sickos looking for new and different ways to fulfill their darkest fantasies. And the character Tom Welles is easy to support and cheer for, because what he feels when he looks upon this industry, is exactly what you will feel. Nicolas Cage is brilliant, and captivating and Joaquin Phoenix is also delightful to watch. His character Max California is the only lovable character in the film and Phoenix plays him well enough to make you fall in love for his joyous character, so that in his last moments you will feel for him and be shocked. He is also darn hot too, in his little Gothic way. Unfortunately though in this film, justice is served. And as an audience you know that in the real world, that just isn't the case. Though it is satisfying to see the bad guys get what they deserve, you know that it would be far more believable if Cage's character Tom Welles had been killed by the disgusting Machine character. I especially found Cage's performance at the end of movie to be completely truthful and I nearly cried for Welle's poor tormented soul. This movie will have you on the edge of your seat, and though it is restricted to 18+ I recommend younger teens (15/16/17) to see it, so they don't take the easy way to fame. Death.	7
 Nicholas Cage takes a trip into the dark side of humanity.	As subject matters go, this one (snuff films) is pretty gruesome. Are there really people who get a kick out of that sort of thing? Anyway, the film itself is both disturbing and touching, especially the scenes involving Cage and his baby daughter. The villains are evil, exploiting young women and coming across as creepy pond scum. Cage's character is a street-wise private eye who gets a strange case, looking for a porn actress who appeared on one of the snuff movies mentioned earlier. Was she really murdered, or is it a hoax? We work out the answer soon enough, or rather Nicholas does. I think this is his best film, and I recommend it.	8
" ""I'd hate for you to be caught in one of those everyday situations that call for a battery operated vagina & you just don't have one."" Reasonable thriller."	8MM starts with private detective Tom Welles (Nicolas Cage) receiving a phone call from an attorney named Daniel Longdale (Anthony Heald) who represents Mrs. Christian (Myra Carter) whose rich husband has recently died. Welles meets Mrs. Christian who says that she has discovered a reel of film in her late husbands safe that appears to be snuff & seemingly show's a young girl being brutally abused & murdered, she asks Welles if he will investigate the film & try to put her mind at rest that it's fake. Welles accepts, with a little detective work he learns that the girls name is Mary Ann Mathews (Jenny Powell) & that she was reported missing several years ago. After speaking with her mum Janet (Amy Morton) the case takes him to California where he meets porn shop clerk Max California (Joaquin Phoenix) whom he enlists to help guide him through the underground world of S/M & hard porn to find the men responsible for the supposed snuff film... This American German co-production was co-produced & directed by Joel Schumacher & is a reasonably entertaining thriller with a sleazy undertone. The script by Andrew Kevin Walker (who apparently left the film after a disagreement with Schumacher who along with Nicholas Kazan reworked the script) moves along at a decent enough pace although I was starting to get a little bored by the end & I think at 2 hours it's too long & drawn out. The story is simple with basic mystery elements that don't particularly grip or engage, the whole thing is somewhat predictable & it paints the entire S/M & porn community as gun carrying sadistic freaks which clearly they are not. Virtually all the character's in 8MM that Welles runs into are scum who peddle sick porn for their own gain & care little for anyone else, nothing like having a balanced point of view... I also found the climax where Welles phoned Mary's mum for justification & permission to take revenge on the people reasonable for her daughter's death really silly & just didn't work for me. Having said that it still provides decent entertainment & is certainly watchable if you want something a little darker than usual. The actual porn & violence content is rather low, there is some nudity & gore but things are generally kept to a minimum, there is however plenty of very strong language. With a supposed budget of about $40,000,000 8MM doesn't do anything to justify that sort of money, the film looks slick, it has a gritty washed-out look & is well made for sure but nothing really stands out. The acting is OK especially the likable Phoenix although Cage isn't that good & is undistinguished, bland & forgettable as Welles as he makes the transition from a normal everyday life to one filled with porn & darkness. I quite liked 8MM, it's a pretty good thriller but ultimately the misinformed moral stance on S/M & porn in general hurts it & the story itself could have been a little stronger as it contains one of the most unsurprising twists I've ever seen & little justification is given for anything that happens. Worth a watch but by no means a masterpiece, try to catch it on TV for free.	6
 The dark side of things...	This Hollywood flick explores the underground world of snuff films, with entertaining, albeit disturbing, results. The film, to its credit, doesn't shy away from the subject matter, giving it a suitably dark and depressing tone. I also quite like the setup; a wealthy old man with a skeleton in his closet, only to be revealed after he dies. All the actors fit nicely into their characters too, with Nicolas Cage giving one of his better performances in a difficult role. Of course, as a Hollywood production, it does have some requisite glitz but its still a solid, effective film. The commentary with director Joel Schumacher is decent and informative, as he rarely lets up.	7
 brutally violent but decent	Many reviewers have deemed this film offensive because of the quantity of violence that proves futile and disturbing; besides, it would also lack suspense and mystery; I don't like either some impressive sequences but, all in all, I find it entertaining and conscientiously filmed, with a thorough attention to details as well. Joel Schumacher jumps his way into the hidden worlds of voyeurism and pornography, putting on the screen the worst perversions of human beings. I figure Nicholas Cage acted over the average, showing how a naive and innocent man, after being through shootings, knifings and beatings of any sort, can finally turn into a terribly violent man.	7
 Between 'Terrific' & 'Trash'		7
 Unfairly lambasted mystery thriller		8
 Underrated, a wonderful piece. But only for those who can handle it.		
 incurssion in the world of the devil		8
 Underrated	The unexpectedly low rating of 8MM I think can only be attributed to the choice of the movie's main theme - snuff & porno. Although the scenario tries to compensate the gritty elements by over-injecting 'the family values', and (unconvincingly) sugaring the main character in his home sweet home, many believe the movie is revolting due to the very fact that it's about the snuff. On the other hand, others expect the movie to overshadow porno flicks they accustomed to, and blame the director because it hasn't ( big surprise huh ). I think that the unbiased appreciation of 8MM can only come from these who don't fall in either group, which is surprisingly small, so here I'll try to comment from this point of view.*MINOR SPOILERS*. Cage's hero, PI Tom Welles, investigates origins of a snuff movie, but the path leads too deep, and at the end his family is in danger. No surprise that the film ends with the bad guys dead and the family saved. The real interest is to watch the Welles' character, its transformations along the path, especially his resistance to kill Eddie, who actually didn't kill himself. The scene where Welles doesn't know what to do with Eddie, and calls to Mrs.Mattews to get a licence to kill, and receives none, I think is a turning point for him. I personally doubt that this would be a first kill for a PI with such a reputation, but imagining it is, Cage acted this transition from an average guy into a resolute killer very, very convincing.I think the movie is worth watching, but certain tolerance is required, both for hard 'snuff' and soft 'family' parts. ***/****	8
 Good movie, disturbing and truly twisted	This movie is one of those movies that people either really like or really hate. I for one happen to be in love with dark,twisted movies,and this one is no exception. I'm not going to waste my time explaining the plot, there are many other comments already on here that can do that,but I'll state why I like this movie. I've always liked Andrew Kevin Walker, but Joel Schumacher...never really liked what he's done, but this has to be his best. The imagery in the film is very depicting of filth and can stick to your head. The music in some scenes is brutal and disgusting, and the acting is superb. I really like Cage and Gandolfini together. Gandolfini brings his brutal character physique and aggressive personality alive, and puts together the perfect porno advertiser or whatever. The story had a few flaws, but I'm glad it got made. Actually, I wasn't surprised one bit why it had such a low rating, it was filthy. Most people don't want to see this, as it shows the pure weaknesses of our society, primarily American. I'm sure if this took place in Asia, it wouldn't be as bad. Give it a shot, and be fair, but still, proceed with caution.	
 Great Movie, but too Hardcore for Cage fans	I saw this movie on video after I borrowed it from a friend. Having seen Cage hits, Gone in 60 Seconds, Face/Off, and Snake Eyes, I was expecting another great Cage movie, of which I was not disappointed. And with a class act like James Gandolfini(The Soprano's), one couldn't help but be pleased. The story: Tom Welles(Cage) is hired by an old lady to investigate a movie she found after her husbands death, that has the brutal murder of a young girl in an S+M video. So Welles goes looking and gets caught up in the chase. When he does find the murderer, he confronts him and kills him. The story is all whacked, but it is suspenseful, and interesting at times. Using skills like that in Snake Eyes, Cage gives a brilliant performance, but any hope of the movie being worth watching (to most people anyway) is clouded by the S+M flavor which in my opinion istaken a little too far. If this does not bother you, and you are looking for good acting and decent action, this is for you. 7/10.	
 Very good thriller!		9
 Gripping	Relative to what has been said before, I watched this film and wondered why Joel Schumacher hadn't devoted this kind of dark intensity to Batman & Robin.  I didn't see all the graphic stuff since this was what the USA network made of it, and I think the cut out parts gave an edge from uncertainty as to why Tom was cringing from what he was watching.  This movie kept me on the edge of my seat throughout.	8
 not a bad idea but the film is overdone	Lurid thriller about the dark and disturbing underworld of hardcore pornography. Nicolas Cage stars as a private investigator who gets recruited by a wealthy widow to investigate the authenticity of her late husband's 'snuff film,' in which a young girl appears to be murdered. Against his better judgment, he takes the case and the investigation draws him into a disturbing netherworld of sadism and sexuality that threaten to break his sanity. Unpleasant, even borderline unbearable at times, like you'd expect considering the film's graphic subject matter, though well-crafted and performed by a talented cast, but it's let down by unconvincing characters and an unbelievable climax. **½	
 Dark Film	This is the dark side of human nature exploring sexual perversion to its horrifying conclusions in this case.Reasonable acting performances add to a chilling subject which, if I have one criticism only about this movie, is rather rammed down the viewers throat incessantly throughout the picture.It only gets a 6/10 because of occasional inconsistent direction perhaps designed to throw the viewer but ends up just being annoying in the final analysis. However if you can stomach it this is worth one viewing.	6
 A spooky look into snuff	8MM is the type of film you have nightmares about, but well made ones at that.  Joel Schumacher brings Andrew Kevin Walker's Eight-Millemeter to the screen with superb acting (mainly by Nicolas Cage, but the supporting cast is also very good), a terrifying story with more twists than a pretzel factory, and many other great things.  Of course not for all tastes, but for fans of mystery films, or even Cage/Schumacher fans, this film is for you. True, snuff is no matter to bring to the screen, but Schumacher puts it on the screen so well you forget about it's bad effect (except on the person Cage is trying to find in the movie).  Well done suspense thriller, one of Schumacher's best.	7
 Worth a Look	"This was a bit disappointing.  I agree that Cage's acting ability was totally wasted in the first half of the film, he appeared to be sleep-acting. The build up was far too slow and boring.  Not enough of the underworld was reveiled visually during this ""slow beginning"" to give the viewer the outrage necessary to bring the films powerful ending to the maximum potential effect.  The story was good, the players were good, but the weak direction managed to miss the mark (for me)."	7
 Somewhat boring, dark, detective drama. Wait for video!		7
 good thriller movie	A good 90's thriller movie , all actors especially Nicolas made this movie great . recommended to Nicolas fans .	7
 Nicolas Cage shows versatility	This underrated work perhaps suffers from identication with the sexploitation it centres on, and in fact if you ask a big actor to get involved with this kind of seedy mix he might well have second thoughts about reputation. But Nic comes out clean in my book here, and indeed also the creative team. It has a gritty shadowy Noir feel thanks to the direction which feels arty, and in no way did I feel exploited as a viewer. There are some flaws but the ambition and adventure of the project eclipses these. There's some soul-searching, but it's also got the actioner elements and some pace, but above all its got Cage acting at full tilt (at least for him and his restrained persona) and it all worked out pretty fun in the end (as well as a bit bloody creepy).	9
 Gripping	Second time I have watched this film and I find it gripping and disturbing! Cage is excellent in the lead playing an investigator employed to find out if a supposed snuff film is real or a well acted hoax.	8
 Grossly underrated	I cannot believe imbd has given this 6.5 ,emotional,,disturbing and sad ,I highly recommend it .	8
 Into the perverse underworld of smut, S&M and snuff films		7
 Gritty and disturbing	A dark and gritty view of the world of underground distributed videos. This film has received mostly negative reviewed from critics citing is as too dark, violence and excessive but overall the film is quite intense and gripping, in a good way. 8MM is quite engaging from the beginning, although predictable the story it tells keeps guessing at every turn.	7
 Life-Changing Movie Experience on 35mm Film		7
 Fun Ride!	This is great filmmaking right here. I would not say this is Academy Award winning stuff, but it has a story that never lets you go, and is intriguing and somewhat thought provoking. This movie had me from start to finish, and very very seldom let me go. That is how I know a good movie from a bad one, it makes you forget about everything else and absorbs you.8 Stars!!! Though it probably is a 7 at best, I liked it though!	8
 8MM Kicks a**!	I was lucky enough to score tickets to a preview screening of 8MM, and let me tell you, this is one cool movie, although it is certainly not one for those who get easily disturbed. Nicolas Cage turns in a great performance as the seedy private dick, and as always is absolutely riveting to watch. The support cast is also very good. 8MM is filled with many suspenseful moments, and is genuinely very frightening. I highly recommend this to anyone looking for a smart, non-mainstream mystery-thriller. 9 out of 10.	
 A disturbing flick but good nonetheless	I just got back from seeing 8mm on opening night (my birthday as well) with some friends and we had mixed reviews on it. They said it wasn't something they'd like to think about anymore because of its disturbing nature. I also thought it was disturbing but it was a fine film. It delved deep into the seedy underworld of porn but not so deep as to be overly perverse. When Cage views the box marked XXX-Way TOO Far, and the man tells him they are rape films, I thought that that was the cream of the crap...but snuff is even worse. What my friends and I took with us after this movie was that seedy porn dealers are the trash of this earth and it's very, very disturbing to know that somewhere out there, they are dealing in and making snuff films...sometimes with kids like the girl in the film.	6
 Dark; not for the faint-of-heart	Ultimately, at its core, 8mm follows the standard nice-cop-faces-evil plot. It's very well done, probably worth a 7 or 8 out of ten (I gave it an 8 'cause it's the sort of role I like to see Nic Cage in, as opposed to mindless crap like Con Air).8mm does a nice job with the way the events affect the protagonist; there's a very tangible, and not exactly pleasant, change in him over the course of the film.  Which makes for a better film than if it were just the usual serious guy beating down evil.Good movie overall.  Not a good first-date film though.	7
 An excellent view of the dark side of humanity.	"Nicolas Cage, as I expected, gave a great performance and Joel Schumaker proved to me that he can indeed still make decent films. The film was indeed reminiscent of ""Seven"". It shows the sick and twisted side of humanity and just how far a man can fall from grace. The world is ruled by money and connections and those who have them are often above the law. It wasn't as predictable as ""Seven"", though it started out slower. However, when the film got good... man, did it get good."	9
 Not as disturbing as Seven, but definitely disturbing	I truly liked this movie, it definitely had the same feel as Seven, but it showed us a completely different dark world.  All in all this was a well written and well directed film.	8
 Wow. Powerful.	"I went into this with high hopes, and I wasn't disappointed.  ""8MM"" proved to my viewing companion that I was right:  Joel Schumacher *is* an excellent director, provided he has a strong enough script to work with, and Walker reproves his...well, genius may a bit too strong of a word, but he's very, very, very good at what he does.  (We'll excuse ""Brainscan"".)  It's uniformly well-acted and terrificly shot, and one final note:  I can't remember the name of the guy who did the score, but keep an eye on him. This one was Oscar-worthy."	9
 Won't Play Long at a Theatre Near Me.	"Gritty and uncompromising look at the grim underbelly of this particular beast, snuff and sado porn. Cage again demonstrates his ability to honestly tackle unpopular and unpleasant subject matter, as he did with suicidal alcoholism in ""Leaving Las Vegas.""In a movie market where ""Rug Rats"" and ""Water Boy"" played for months, there were three people in the audience when I attended a showing of ""8 mm"" this Friday evening of its opening week."	7
 Could have been better		7
 Incredible. No way to prepare yourself for this film.	This is without a doubt one of the best films of the new year. Joel Schumacher blew me away with this film. He returns to fine form after destroying the Batman franchise. Nicolas Cage is in fine form once again. Definitely a must see!	9
 A dark thriller that shows humans at their most brutal form	"When a small time private eye (Cage) takes a big case, it propels him into the porn underworld, in search of the origins of a ""snuff"" film.  8MM excelently portrays a not so unusual marriage on the rocks, between Cage and Keener which is very convincing.  Then it moves into a dark and dingy world of very disturbed people, and the effects it has on Cage.A wonderful look at what can drive a person over the edge.  A must see film, but don't expect the incredible ride to be pleasant."	8
 Something missing...	I saw the movie last night, and I thought it was a alright movie, but something just seemed to missing.  Yeah, like the other people said, it seemed to be lacking script-wise.  It's not the best movie in the world, but considering everything out there now, if you aren't in the mood for some teenaged audience-directed fluff, it's a contender. One thing I liked alot though was Joaquin Phoenix.  He seems to steal the stage from Nick, but then again, you have to blame the script.	6
 Action/Thriller with a conscience.	It is no surprise that this movie as the same atmospheric feel as Se7en considering that both films share the same writer.  A few scenes are almost repeated.  However, the movie goes a little further in developing the effects of the events on Nicholas Cage's character and in an effective and convincing way.Few and far between is the action/thriller that possess any consequence of the events of the film after the credits roll.  8mm pulls no punches and gives no simple easy answers to the questions it asks and that is a refreshing change from Hollywood.Not for the queasy, but it is the type of film that makes you want to cover your eyes but peak through your fingers.  Considering the disturbing subject matter, that is the best kind of film.	7
 Disturbing, but excellent nevertheless	Some have criticized 8mm for its dark nature, perverse subject matter, and depraved situations it depicts.  Though I can understand why some would be turned off by the twisted villains, I must state that the film itself, if viewed objectively, was a fine picture.  Even if someone did not care for the subject matter or was disturbed by the images shown, that person should not discount the wonderful acting, gripping plot, and realistic nature of the film.  I particularly enjoyed the fact that this was no fantasy-land film; just as he was warned, Cage's character was changed by what he saw/experienced.  Personally, I enjoyed the film and, though some may have different tastes, I would ask that everyone who reviews this film at least give credit where credit is due.	8
 A Movie that will keep you on the edge of your seat.	This movie is one of those movies that you will remember for days if not weeks. Walker's style of using graphic scenes is essential to the movie, this style is probably to freak people out, and I think it works. Just like Se7en this movie takes some unexpected turns, and the story is an original one. This is a good movie. Cage does a good job, and Phoenix too. I didn't expect it to be as good as Se7en, but it came really close. In summary, 8MM is cool.	7
 It's not what it's about that's disturbing	"Caution: May contain spoilersIt's not the plot or premise that's disturbing, it's the actors and their actions.  Cage goes so over the top with his character that he's going down the other side.  He's a PI that becomes so personally involved with his missing persons case that he loses all objectivity, this might have been more realistic if it didn't happen shortly after taking the case.  The character of his wife is so poorly written.""She didn't realize he'd be away from home as a PI!?""  His wife is so annoying I was hoping the film wouldn't get back to her. The best performance was given by Jaoquin Phoenix, he is believable and the only character that I cared about.  He helps Cages PI find the truth and even though he knows more about the world their about to become intimate with he doesn't let it cloud his judgement, shame the PI doesn't have the same focus. It's unbelievable that a PI as smart as Cages character, it is an impressive job he does finding the girl in the film, would do in the film makers in the end and leave such a trail of these killings to himself- the phone call to the girls mother. This is one for the free rental after 5 rentals."	
 Disturbing and controversial	8MM is a very disturbing movie, due to its controversial theme: snuff. It shows us how sick snuff really is, and you are guaranteed to be engaged by this film. Nicolas Cage plays Thom Welles, a private-detective, who has been hired by the widow of a recently deceased leader of a steel company. The widow has found a piece of 8MM film in her husbands private belongings. It shows the murder of a young woman, and the widow wants Welles to find out if the movie is a fake or not. Welles is about to enter a sick and twisted world of pornographers, as he search for the guys who made the film, and the girl on it(if she`s alive, that is). Not a classic, not very good, but worth a shot if you want a thriller which theme is snuff.  It tells us that people who see/make snuff-films are indeed extremely sick people, but many of them look just like normal persons. 6,5/10	
 Controversial Thriller		
 murder mystery with boxing	Great one time view. I loved it the first time through, interesting twists and turns.  A mixture of action, and intelligent problem solving.  Good performances, but once you've seen it once you've seen it all.  Camera tricks are good.  Don't let the timing fool you, a lot of flashbacks can make this movie confusing. Sit down and watch it and you will enjoy it.	8
 GOOD IF YOU CAN HANDLE IT!!	This may be based around a subgect that has the potential to be disturbing and some scene were in this film, but all up this film was pretty good. Written by Andrew Kevin Walker (Se7en, Brainscan, The Game) which is a reason for watching it, some great acting be Nicholas Cage and Joaquin Phoenix. The story is A small, seemingly innocuous plastic reel of film leads surveillance specialist Tom Welles (Nicolas Cage) down an increasingly dark and frightening path. With the help of the streetwise Max (Joaquin Phoenix), Welles relentlessly follows a bizarre trail of evidence to determine the fate of a complete stranger. As his work turns into obsession, he drifts farther and farther away from his wife (Catherine Keener), family and simple life as a small-town private eye. All up some disturbing parts, not unbearable but all up a good watch if you can handle it.	8
 An impressive thriller	"This film is packed with excitement, suspense, and some interesting plot twists.  Nicolas Cage delivers an exceptional performance as P.I. Tom Welles, trying to solve what will become the most challenging case of his life. The film takes us into the seedy underbelly of Hollywood, where pornography becomes its most extreme and sickening.  The picture definitely does not attempt to ""sugar coat"" the industry and portrays it as it really is.  As P.I. Welles gets deeper into the case, he discovers that things are not always as they appear to be.  The picture is somewhat disturbing in some parts, but the violence is never glorified. I personally enjoyed this film very much.  It had enough action and suspense to keep me on the edge of my seat, but it is definitely not for the faint of heart.  Great performances and an interesting plot really make this film one not to be missed."	8
 A disturbing film yet compulsive to watch.	"Eight Millimetre is a very disturbing film, yet a very well made film as well. It's the sort of film that everyone really should see, but no-one would blame you if you didn't! The film makes you wonder ""How on earth did the censor let them get away with that!"", yet, in its own way, its a very strong argument against censorship, because the disturbing turns the story takes are what make the film such a unique and realistic portrayal of a very bad part of life.Nicholas Cage plays a private investigator who is called upon to investigate a snuff film, which was found in a safe after a wealthy man's death. The question his widow wants to know is - is the man she adored and to whom she was married for forty-five years really the distinguished gentleman she has always believed him to be, or was he a mentally-disturbed pervert who gets kicks out of watching innocent young girls being killed? And, worse still, did he pay for the girl to be killed on film, for his pleasure, when there were no other snuff films available?In order to find out, the investigator has to get down into the gutter of life, and search through the worst and most perverted porno manufacturing networks he can find. The girl went missing six years ago, and the police haven't got a clue, but there are clues on the film, such as a tattoo on the hand of the masked killer, and a fleeting image of a man in the background watching.So what exactly is so disturbing about this film? In order to explain properly, I'm going to have to write a SPOILER. So please only read on ONLY (a) if you have already seen the film, or (b) if you are completely sure you're not going to see it, or (c) if you want to know exactly why it's disturbing and don't mind knowing what happens in order to find out. OK? Here we go:        *******WARNING: ******* SPOILER ******* SPOILER *******The Disturbing Features:The film is disturbing largely because the investigator is so shocked by what he discovers that he brutally murders the girl's killers, and gets away with it as well. He literally gets down into the same moral gutter that they are in.Another disturbing feature is that, in order to make himself angry enough to start killing, he cruelly calls the dead girl's mother on the phone, tells her how her daughter was killed, six years ago. When she naturally breaks down into hysterical sobs, crying out ""No, no, no! I love my little girl!"" it helps him to start the killing, just as he'd hoped.Another disturbing feature is that he insensitively calls the widow who started the investigation, and blurts out that her husband did indeed commission the film, and paid for the killing, so the elderly widow, unable to cope with the sudden dreadful news, commits suicide.And yet another disturbing event is that right at the end, he receives a letter from the girl's mother, emphasising that he did the right thing, in murdering her child's killers. So basically, this film is saying ""Forget about the police. They'll do nothing for six years or more. If someone has killed a child, the best thing to do is to take the law into your own hands.""Some people on the internet who are concerned with pro-life issues, have been arguing that the message of the film also carries strong implications that those who shoot abortionists may be doing the right thing, the best thing, after all."	9
 Good movie for almost the entire running time	This was a good, atmospheric film  for about 9/10 of the running time, then it reaches a climax and curiously keeps on going. The movie has a good atmosphere and is an interesting look into the world of underground porn, the problems mainly lie in the fact that cage is not a great actor and ends up as 2-dimensional as everyone else in the film. The most irritating thing about this movie was the fact that the ending beats you over the head with the point. For the most part fans of thrillers arent dumb, although it seems the director doesnt realize that. 7/10 in my opinion, worth seeing but not paying to see.	
